date,ticker,close,volume,sector
2018-01-01,ASSET_A,99.91,2241650,Technology
2018-01-01,ASSET_B,83.48,1604834,Banking
2018-01-01,ASSET_C,54.77,2292894,Consumer
2018-01-01,ASSET_D,32.25,2420905,Materials
2018-01-01,ASSET_E,48.24,2364393,Retail
2018-01-01,VNINDEX,963.9,0,Benchmark
2018-01-02,ASSET_A,99.35,488339,Technology
2018-01-02,ASSET_B,83.17,2400846,Banking
2018-01-02,ASSET_C,53.72,1049716,Consumer
2018-01-02,ASSET_D,31.16,1160746,Materials
2018-01-02,ASSET_E,48.18,1423834,Retail
2018-01-02,VNINDEX,954.91,0,Benchmark
2018-01-03,ASSET_A,100.38,1467229,Technology
2018-01-03,ASSET_B,84.0,1140408,Banking
2018-01-03,ASSET_C,54.32,1912157,Consumer
2018-01-03,ASSET_D,31.07,1265722,Materials
2018-01-03,ASSET_E,48.06,1024753,Retail
2018-01-03,VNINDEX,961.77,0,Benchmark
2018-01-04,ASSET_A,102.13,1249971,Technology
2018-01-04,ASSET_B,84.08,407312,Banking
2018-01-04,ASSET_C,54.51,1865915,Consumer
2018-01-04,ASSET_D,31.41,567219,Materials
2018-01-04,ASSET_E,47.89,1061701,Retail
2018-01-04,VNINDEX,970.39,0,Benchmark
2018-01-05,ASSET_A,100.2,2372792,Technology
2018-01-05,ASSET_B,81.7,1832333,Banking
2018-01-05,ASSET_C,53.69,1619010,Consumer
2018-01-05,ASSET_D,31.44,418969,Materials
2018-01-05,ASSET_E,47.01,521598,Retail
2018-01-05,VNINDEX,953.2,0,Benchmark
2018-01-08,ASSET_A,99.74,2199147,Technology
2018-01-08,ASSET_B,80.29,846862,Banking
2018-01-08,ASSET_C,52.6,2150086,Consumer
2018-01-08,ASSET_D,31.27,2431805,Materials
2018-01-08,ASSET_E,47.5,2230534,Retail
2018-01-08,VNINDEX,941.93,0,Benchmark
2018-01-09,ASSET_A,100.01,2283098,Technology
2018-01-09,ASSET_B,80.62,420335,Banking
2018-01-09,ASSET_C,52.72,2240203,Consumer
2018-01-09,ASSET_D,30.98,885680,Materials
2018-01-09,ASSET_E,47.07,746382,Retail
2018-01-09,VNINDEX,943.26,0,Benchmark
2018-01-10,ASSET_A,100.57,1007116,Technology
2018-01-10,ASSET_B,79.99,778407,Banking
2018-01-10,ASSET_C,52.99,2050854,Consumer
2018-01-10,ASSET_D,31.5,2346927,Materials
2018-01-10,ASSET_E,46.87,2107563,Retail
2018-01-10,VNINDEX,940.69,0,Benchmark
2018-01-11,ASSET_A,101.56,1633766,Technology
2018-01-11,ASSET_B,79.31,2361460,Banking
2018-01-11,ASSET_C,52.65,1635606,Consumer
2018-01-11,ASSET_D,30.96,489011,Materials
2018-01-11,ASSET_E,46.92,2443377,Retail
2018-01-11,VNINDEX,940.75,0,Benchmark
2018-01-12,ASSET_A,99.75,1870021,Technology
2018-01-12,ASSET_B,77.66,2040739,Banking
2018-01-12,ASSET_C,52.04,2451799,Consumer
2018-01-12,ASSET_D,30.81,2478593,Materials
2018-01-12,ASSET_E,46.52,496557,Retail
2018-01-12,VNINDEX,933.46,0,Benchmark
2018-01-15,ASSET_A,98.71,2431684,Technology
2018-01-15,ASSET_B,77.34,977532,Banking
2018-01-15,ASSET_C,52.61,1566676,Consumer
2018-01-15,ASSET_D,31.28,1297266,Materials
2018-01-15,ASSET_E,46.68,1709535,Retail
2018-01-15,VNINDEX,941.41,0,Benchmark
2018-01-16,ASSET_A,101.31,415431,Technology
2018-01-16,ASSET_B,77.93,1655968,Banking
2018-01-16,ASSET_C,53.16,1737396,Consumer
2018-01-16,ASSET_D,31.18,2092989,Materials
2018-01-16,ASSET_E,47.57,540149,Retail
2018-01-16,VNINDEX,948.54,0,Benchmark
2018-01-17,ASSET_A,101.7,2451756,Technology
2018-01-17,ASSET_B,76.97,1112610,Banking
2018-01-17,ASSET_C,52.15,796506,Consumer
2018-01-17,ASSET_D,31.49,2164149,Materials
2018-01-17,ASSET_E,47.84,2145278,Retail
2018-01-17,VNINDEX,949.34,0,Benchmark
2018-01-18,ASSET_A,101.01,1146265,Technology
2018-01-18,ASSET_B,77.35,772400,Banking
2018-01-18,ASSET_C,53.51,1074573,Consumer
2018-01-18,ASSET_D,31.64,1139107,Materials
2018-01-18,ASSET_E,48.75,1465080,Retail
2018-01-18,VNINDEX,959.72,0,Benchmark
2018-01-19,ASSET_A,100.73,669375,Technology
2018-01-19,ASSET_B,77.53,2475604,Banking
2018-01-19,ASSET_C,53.96,2299858,Consumer
2018-01-19,ASSET_D,32.08,1949793,Materials
2018-01-19,ASSET_E,49.27,445191,Retail
2018-01-19,VNINDEX,964.19,0,Benchmark
2018-01-22,ASSET_A,100.69,1692585,Technology
2018-01-22,ASSET_B,75.79,2109339,Banking
2018-01-22,ASSET_C,53.9,1445647,Consumer
2018-01-22,ASSET_D,31.07,1101659,Materials
2018-01-22,ASSET_E,49.35,2021975,Retail
2018-01-22,VNINDEX,956.57,0,Benchmark
2018-01-23,ASSET_A,100.8,2041240,Technology
2018-01-23,ASSET_B,76.43,1163312,Banking
2018-01-23,ASSET_C,54.01,1473598,Consumer
2018-01-23,ASSET_D,31.33,2056715,Materials
2018-01-23,ASSET_E,50.34,2007471,Retail
2018-01-23,VNINDEX,960.14,0,Benchmark
2018-01-24,ASSET_A,99.2,672490,Technology
2018-01-24,ASSET_B,76.07,1142297,Banking
2018-01-24,ASSET_C,52.78,2114266,Consumer
2018-01-24,ASSET_D,30.87,2413895,Materials
2018-01-24,ASSET_E,50.61,2342334,Retail
2018-01-24,VNINDEX,951.61,0,Benchmark
2018-01-25,ASSET_A,101.8,485625,Technology
2018-01-25,ASSET_B,76.53,2112743,Banking
2018-01-25,ASSET_C,53.47,1084755,Consumer
2018-01-25,ASSET_D,31.62,2095119,Materials
2018-01-25,ASSET_E,52.27,1418399,Retail
2018-01-25,VNINDEX,959.84,0,Benchmark
2018-01-26,ASSET_A,100.56,2282874,Technology
2018-01-26,ASSET_B,76.19,1367799,Banking
2018-01-26,ASSET_C,53.21,957219,Consumer
2018-01-26,ASSET_D,31.59,1928588,Materials
2018-01-26,ASSET_E,52.93,2359273,Retail
2018-01-26,VNINDEX,959.59,0,Benchmark
2018-01-29,ASSET_A,99.46,2360786,Technology
2018-01-29,ASSET_B,76.42,1191599,Banking
2018-01-29,ASSET_C,53.38,418634,Consumer
2018-01-29,ASSET_D,32.06,1181073,Materials
2018-01-29,ASSET_E,52.48,1797146,Retail
2018-01-29,VNINDEX,958.11,0,Benchmark
2018-01-30,ASSET_A,98.98,728175,Technology
